,core_id,sample_date,broad_location,sampling_year,location_code,site,disinfectant,wtp,flow_cytometer,regrowth_key,std_note,HPC_label,avg_cells_per_mL_gmean,avg_cells_per_mL_gstd,ICC_to_TCC,ICC_to_TCC_stdev,intra_ATP_gmean_nM,intra_ATP_gstd_nM,total_ATP_gmean_nM,total_ATP_gstd_nM,extra_ATP_gmean_nM,extra_ATP_gstd_nM,HPC_gmean_MPN_per_100mL,HPC_gstd_MPN_per_100mL,HPC_label.1,pH,temp_C,total_Cl2_mg.L,free_Cl2_mg.L,water_age_h,summer_water_age_h
42,SG_42,3/28/18,DWDS_F,2018,site_15,site_15,Chloramine,No,Canto,42,NA,NA,84364.5754,1.42793367,0.162789744,1.27E-05,0.002009015,1.479101436,0.005246567,1.011233871,0.003237553,1.079419804,64.06652792,1.769100169,NA,7.84,24,1.11,0.04,70,9.43
43,SG_43,3/28/18,DWDS_F,2018,site_10,site_10,Chloramine,No,Canto,43,NA,NA,69384.021,1.07519851,0.019450603,1.61E-05,1.00E-05,1,0.001085489,1.011050919,0.001079915,1.00738377,7.531932023,1.347438054,NA,7.91,22.3,1.61,0.15,50.61,NA
44,SG_44,3/28/18,DWDS_F,2018,site_24,site_24,Chloramine,No,Canto,44,NA,NA,95002.2262,1.04514363,0.092802685,1.13E-05,0.000932548,1.460409673,0.001499086,1.038121189,0.000566538,1.027181001,50.79842517,1.011198003,NA,8.17,24.4,0.78,0.11,289.38,NA
47,SG_47,3/28/18,DWDS_F,2018,site_ut,site_ut,Chloramine,No,Canto,46,exclude,NA,33117.486,1.11050023,0.018069426,3.47E-05,3.69E-05,1.559431904,0.000312552,1.176394165,0.000275648,1.0236819,25.6,1,NA,8.14,16.8,2.18,0.05,24,NA
48,SG_48,4/2/18,DWDS_F,2018,site_ut,site_ut,Chloramine,No,Canto,51,NA,NA,6079.15311,1.09787306,0.105126718,0.000255653,1.00E-05,1,0.00150972,1.050825156,0.001491954,1.043515678,NA,NA,NA,8.05,17.6,2.2,0.11,24,NA
51,SG_51,4/9/18,DWDS_F,2018,site_ut,site_ut,Chloramine,No,Canto,55,NA,NA,5873.67699,1.2584517,0.253835613,0.000193211,1.00E-05,1,0.001900782,1.062042169,0.001966299,1.067619743,NA,NA,NA,8.14,20.8,2.32,0.06,24,NA
54,SG_54,4/16/18,DWDS_F,2018,site_ut,site_ut,Chloramine,No,Canto,58,NA,NA,2783.66954,1.21134223,0.437360456,0.000619156,1.00E-05,1,0.001924256,1.020329073,0.001979197,1.04916258,NA,NA,NA,8.28,18.8,2.52,0.05,24,NA
55,SG_55,4/19/18,DWDS_F,2018,site_15,site_15,Chloramine,No,Canto,59,NA,NA,8727.11629,1.09735808,0.589315902,0.000143084,0.000887932,1.439559089,0.002902031,1.018973731,0.002014099,1.016869169,91.22466772,1.033888942,NA,8.08,21.9,1.88,0.28,70,9.43
56,SG_56,4/19/18,DWDS_F,2018,site_10,site_10,Chloramine,No,Canto,60,NA,NA,2748.44943,1.06992405,0.924501245,0.00058584,1.00E-05,1,0.001702613,1.020056703,0.001908642,1.151123313,8.049844719,1.008822741,NA,8.13,20.7,1.83,0.1,50.61,NA
57,SG_57,4/19/18,DWDS_F,2018,site_24,site_24,Chloramine,No,Canto,61,NA,NA,2471.81447,1.22115016,0.394750487,0.000569184,1.00E-05,1,0.000185203,1.035326783,0.000208307,1.159118413,17.29739865,1.116571194,NA,7.9,18.7,0.48,0.33,289.38,NA
